	Gene stable ID	Gene name
286	ENSG00000239468	RN7SL569P
287	ENSG00000252998	RNU6-889P
288	ENSG00000263432	RN7SL689P
289	ENSG00000201436	RNU6-660P
290	ENSG00000207434	RNU6-1072P
291	ENSG00000201856	RNA5SP331
292	ENSG00000277168	RF00017
293	ENSG00000264391	RN7SL208P
294	ENSG00000275816	MIR6500
295	ENSG00000239494	RN7SL333P
296	ENSG00000277035	RF02271
297	ENSG00000199809	RNA5SP374
298	ENSG00000202019	RF00019
299	ENSG00000222778	RNA5SP144
300	ENSG00000239390	RN7SL87P
301	ENSG00000266716	RF00019
302	ENSG00000251819	RNU6-322P
303	ENSG00000274883	RF00017
304	ENSG00000266754	RN7SL524P
305	ENSG00000240347	RN7SL35P
306	ENSG00000202048	SNORD114-20
307	ENSG00000252744	RF00019
308	ENSG00000239108	RNU6-1132P
309	ENSG00000251914	RNU7-200P
310	ENSG00000252660	RF00019
311	ENSG00000222952	RNA5SP41
312	ENSG00000216075	MIR890
313	ENSG00000199381	RNU6-79P
314	ENSG00000252534	RF00019
315	ENSG00000200571	RNU6-1284P
316	ENSG00000283770	MIR6849
317	ENSG00000212464	SNORA12
318	ENSG00000223269	RN7SKP53
319	ENSG00000251896	SNORD116-27
320	ENSG00000273571	RF02188
321	ENSG00000281780	RF00134
322	ENSG00000212232	SNORD17
323	ENSG00000252537	RF00322
324	ENSG00000243374	RN7SL72P
325	ENSG00000284047	MIR6836
326	ENSG00000202379	RF00156
327	ENSG00000252507	RNU7-81P
328	ENSG00000252307	RNA5SP153
329	ENSG00000212391	RF00554
330	ENSG00000253007	SNORA50B
331	ENSG00000207559	MIR578
332	ENSG00000277740	RF00017
333	ENSG00000199652	RNU1-35P
334	ENSG00000274566	GP6
336	ENSG00000207492	RNU6-713P
337	ENSG00000206980	RNU6-662P
338	ENSG00000207589	MIR508
339	ENSG00000266690	MIR4274
340	ENSG00000206592	RF00425
341	ENSG00000201793	RN7SKP9
342	ENSG00000277029	RNU6-1192P
343	ENSG00000222765	RNU2-40P
344	ENSG00000276055	RF02089
345	ENSG00000200164	RF00019
346	ENSG00000284567	MIR223
347	ENSG00000200388	RNU6-618P
348	ENSG00000206983	RNU6-49P
349	ENSG00000284146	MIR922
350	ENSG00000238443	RF00019
351	ENSG00000238926	RF00019
352	ENSG00000251715	RF00263
353	ENSG00000206616	RNU6-741P
354	ENSG00000265328	MIR548AB
355	ENSG00000222249	RNU6-262P
356	ENSG00000200785	SNORD8
357	ENSG00000265327	RN7SL411P
358	ENSG00000202427	RNU6-744P
359	ENSG00000271841	RNU7-10P
360	ENSG00000281243	SNORD36B
361	ENSG00000200108	RNU6-774P
362	ENSG00000251839	RNU7-12P
363	ENSG00000284459	MIR24-1
364	ENSG00000221255	RNU6ATAC37P
365	ENSG00000202389	RF00156
366	ENSG00000206775	SNORD37
367	ENSG00000284054	MIR7112
368	ENSG00000222663	RNU4-55P
369	ENSG00000277085	RF02220
370	ENSG00000263363	MIR5702
371	ENSG00000251939	RNU6-1278P
372	ENSG00000265669	MIR548AJ1
373	ENSG00000264857	MIR5696
374	ENSG00000199636	RF00019
375	ENSG00000221040	RF00012
376	ENSG00000275968	RF02090
377	ENSG00000207925	MIR516B2
378	ENSG00000276824	MIR7159
379	ENSG00000264452	RF00285
380	ENSG00000201892	RF00019
381	ENSG00000274306	MIR5088
382	ENSG00000221710	MIR1298
383	ENSG00000207818	MIR105-2
384	ENSG00000207633	MIR505
385	ENSG00000284140	MIR3618
386	ENSG00000263730	MIR3937
387	ENSG00000277678	RF00003
388	ENSG00000252136	RF00322
389	ENSG00000264934	MIR4265
390	ENSG00000201825	RNU6-1131P
391	ENSG00000284172	MIR4315-2
392	ENSG00000207991	MIR601
393	ENSG00000264169	RN7SL665P
394	ENSG00000207984	MIR513A2
395	ENSG00000284261	MIR4657
396	ENSG00000283801	MIR1302-11
397	ENSG00000264185	RF00026
398	ENSG00000252970	RNA5SP159
399	ENSG00000275651	MIR6851
400	ENSG00000215943	MIR892A
401	ENSG00000201033	RNU1-96P
402	ENSG00000221669	MIR548N
403	ENSG00000277255	MIR7854
404	ENSG00000207797	MIR187
405	ENSG00000202344	RN7SKP208
406	ENSG00000266189	MIR3186
407	ENSG00000274969	MIR6771
408	ENSG00000280466	SCARNA4
409	ENSG00000264675	MIR4285
410	ENSG00000222490	RNU6-712P
411	ENSG00000252623	RNA5SP481
412	ENSG00000198983	MIR449A
413	ENSG00000264226	MIR3168
414	ENSG00000238531	SNORD105B
415	ENSG00000221616	MIR548H4
416	ENSG00000283677	MIR3913-2
417	ENSG00000223281	RN7SKP85
418	ENSG00000277073	MIR6131
419	ENSG00000200138	RNY1P10
420	ENSG00000201499	RNU6-312P
421	ENSG00000252428	RNA5SP285
422	ENSG00000200084	SNORD68
423	ENSG00000266240	MIR5091
424	ENSG00000207963	MIR569
425	ENSG00000283346	MIR6511B2
426	ENSG00000202317	RNU1-84P
427	ENSG00000283379	MIR3688-2
428	ENSG00000264984	MIR5691
429	ENSG00000201183	RNVU1-3
430	ENSG00000276162	MIR5739
431	ENSG00000212446	RNU6-131P
432	ENSG00000200279	SNORD114-10
433	ENSG00000207719	MIR623
434	ENSG00000264658	MIR4798
435	ENSG00000200411	RNA5SP346
436	ENSG00000199038	MIR210
437	ENSG00000276296	AC012314.25
438	ENSG00000277269	RF02148
439	ENSG00000278081	AC012314.37
441	ENSG00000222686	RNU4-72P
442	ENSG00000207650	MIR570
443	ENSG00000207713	MIR200C
444	ENSG00000252681	RNU1-97P
445	ENSG00000239356	RN7SL309P
446	ENSG00000274589	RF00017
447	ENSG00000198972	MIRLET7E
448	ENSG00000284074	MIR4758
449	ENSG00000207805	MIR483
450	ENSG00000265370	MIR4682
451	ENSG00000206641	RNU6-449P
452	ENSG00000202240	RNU6-737P
453	ENSG00000221028	MIR1231
454	ENSG00000201452	RNU6-1317P
455	ENSG00000284488	MIR6890
456	ENSG00000238627	RNA5SP489
457	ENSG00000283385	MIR4524A
458	ENSG00000244080	RN7SL833P
459	ENSG00000252739	RNU7-151P
460	ENSG00000210741	MIR196A1
461	ENSG00000252959	RNA5SP170
462	ENSG00000221238	MIR1285-2
463	ENSG00000206786	RNU6-701P
464	ENSG00000239856	RN7SL225P
465	ENSG00000273648	MIR8065
466	ENSG00000200413	SNORD114-26
467	ENSG00000280263	AC137499.2
468	ENSG00000223306	RNU6-1304P
469	ENSG00000265172	MIR4262
470	ENSG00000252619	RNU6-1149P
471	ENSG00000263918	MIR3670-1
472	ENSG00000275222	RF00017
473	ENSG00000265673	MIR4508
474	ENSG00000252357	RF00019
475	ENSG00000252549	RNU6-759P
476	ENSG00000212040	MIR543
477	ENSG00000276134	RN7SKP117
478	ENSG00000207803	MIR518A1
479	ENSG00000212379	RNU6-269P
480	ENSG00000243544	RN7SL172P
481	ENSG00000202343	RF00410
482	ENSG00000202275	RF00280
483	ENSG00000201059	RNA5SP336
484	ENSG00000202200	RF00019
485	ENSG00000212051	MIR320C2
486	ENSG00000277900	RF00017
487	ENSG00000264200	MIR4693
488	ENSG00000283126	MIR1297
489	ENSG00000239953	RN7SL273P
490	ENSG00000251878	RF00152
491	ENSG00000251818	RF00601
492	ENSG00000202071	RF00019
493	ENSG00000266852	MIR4482
494	ENSG00000274697	MIR6761
495	ENSG00000251735	RF00402
496	ENSG00000252161	RNA5SP318
497	ENSG00000207546	MIR548C
498	ENSG00000222344	RNU6-613P
499	ENSG00000212214	SNORA48B
500	ENSG00000265754	SNORA38
501	ENSG00000202050	RNU6-391P
502	ENSG00000263994	SNORA38
503	ENSG00000264377	MIR4671
504	ENSG00000200987	SNORD115-30
505	ENSG00000274385	RF00026
506	ENSG00000207069	RF00019
507	ENSG00000200888	RF00019
508	ENSG00000240966	RN7SL681P
509	ENSG00000284219	MIR202
510	ENSG00000251953	RNA5SP522
511	ENSG00000207131	RF00019
512	ENSG00000201860	RF00019
513	ENSG00000199695	RNU6-1128P
514	ENSG00000266110	MIR4423
515	ENSG00000222743	RNU6-1190P
516	ENSG00000200975	RNU1-7P
517	ENSG00000273629	RF00066
518	ENSG00000252086	RNA5SP76
519	ENSG00000253072	RF00324
520	ENSG00000275072	SNORD50B
521	ENSG00000252035	RNU6-397P
522	ENSG00000199667	RF00019
523	ENSG00000212389	RNU6-1275P
524	ENSG00000241625	RN7SL18P
525	ENSG00000200238	RNA5SP133
526	ENSG00000275068	RF00026
527	ENSG00000222421	RF00019
528	ENSG00000252479	RNA5SP309
529	ENSG00000212248	RNU6-750P
530	ENSG00000275208	MIR6745
531	ENSG00000277264	MIR6833
532	ENSG00000274754	RF00019
533	ENSG00000274011	RF00017
534	ENSG00000212167	RNU6-763P
535	ENSG00000265092	MIR4484
536	ENSG00000200206	RF00284
537	ENSG00000276656	MIR6083
538	ENSG00000222320	RNU6-1050P
539	ENSG00000252707	RNU11-2P
540	ENSG00000200003	RNU6-986P
541	ENSG00000283894	MIR1324
542	ENSG00000277154	AC012314.30
544	ENSG00000264978	RN7SL630P
545	ENSG00000238705	MIR1976
546	ENSG00000243424	RN7SL107P
547	ENSG00000212295	SNORD28B
548	ENSG00000277141	RF00017
549	ENSG00000284372	MIR6808
550	ENSG00000277985	SNORA67
551	ENSG00000199713	RF00096
552	ENSG00000265301	MIR548AD
553	ENSG00000206743	RNU6-484P
554	ENSG00000252909	RNU6-201P
